Taux de chômage selon le sexe et l'âge,,en %,Sexe et âge,Femmes ,15-24 ans,25-49 ans,50 ans ou plus,Hommes,15-24 ans,25-49 ans,50 ans ou plus,Ensemble ,15-24 ans,25-49 ans,50 ans ou plus,Taux de chômage de longue durée,nd : donnée non disponible.,"Note : chômage au sens du Bureau International du Travail (BIT) ; données corrigées des variations saisonnières, en moyenne trimestrielle.","Lecture : au 3e trimestre 2024, le taux de chômage au sens du BIT est de 7,4 %.","Champ : France hors Mayotte, personnes de 15 ans ou plus vivant en logement ordinaire.","Source : Insee, enquêtes Emploi annuelles jusqu'en 2002 ; enquête Emploi en continu à partir de 2003."
Unnamed: 140,,,2009-T4,9.4,26.4,8.3,5.9,9.6,24.4,8.5,5.8,9.5,25.3,8.4,5.8,2.3,,,,,
Unnamed: 141,,,2010-T1,9.4,25.9,8.3,5.8,9.4,23.5,8.4,5.7,9.4,24.6,8.3,5.7,2.5,,,,,
Unnamed: 142,,,2010-T2,9.4,28.7,8,5.5,9.1,21.7,8.4,5.5,9.3,24.9,8.2,5.5,2.4,,,,,
Unnamed: 143,,,2010-T3,9.4,28.4,8.1,5.6,9.1,23.1,8.1,5.5,9.2,25.5,8.1,5.5,2.4,,,,,
Unnamed: 144,,,2010-T4,9.8,28.1,8.6,5.8,8.7,20.4,8,5.4,9.2,23.8,8.3,5.6,2.4,,,,,
Unnamed: 145,,,2011-T1,9.7,29.2,8.4,5.8,8.7,21.1,7.9,5.2,9.2,24.8,8.2,5.5,2.4,,,,,
Unnamed: 146,,,2011-T2,9.4,27.2,8.3,5.5,8.8,21.5,8,5.5,9.1,24.1,8.1,5.5,2.5,,,,,
Unnamed: 147,,,2011-T3,9.5,26.5,8.6,5.7,9,21.1,8.3,5.8,9.2,23.5,8.4,5.8,2.6,,,,,
Unnamed: 148,,,2011-T4,9.4,26.4,8.4,5.9,9.3,21.9,8.7,5.8,9.3,24,8.6,5.8,2.6,,,,,
Unnamed: 149,,,2012-T1,9.4,26.2,8.7,5.4,9.6,22.6,8.9,6.1,9.5,24.2,8.8,5.8,2.6,,,,,
Unnamed: 150,,,2012-T2,9.8,26.5,8.9,6.3,9.6,23.7,8.9,5.9,9.7,25,8.9,6.1,2.6,,,,,
Unnamed: 151,,,2012-T3,9.7,28,8.8,5.8,9.8,24.4,9,6.1,9.8,26,8.9,6,2.6,,,,,
Unnamed: 152,,,2012-T4,10.1,30.7,8.8,6.1,10.2,25.6,9.2,6.8,10.2,27.9,9,6.5,2.7,,,,,
Unnamed: 153,,,2013-T1,10.2,30,9,6.4,10.5,25.1,9.6,6.9,10.3,27.3,9.3,6.7,2.8,,,,,
Unnamed: 154,,,2013-T2,10.3,30.3,9.2,6.5,10.6,24.1,9.9,7,10.5,26.9,9.5,6.8,2.8,,,,,
Unnamed: 155,,,2013-T3,10.1,29.2,8.9,6.6,10.4,23.6,9.8,7,10.3,26.1,9.4,6.8,2.8,,,,,
Unnamed: 156,,,2013-T4,10.1,28.5,9,6.6,10.2,22.6,9.7,6.6,10.1,25.3,9.4,6.6,3,,,,,
Unnamed: 157,,,2014-T1,9.8,27.7,8.6,6.9,10.5,23.2,10,6.9,10.1,25.2,9.3,6.9,3,,,,,
Unnamed: 158,,,2014-T2,9.9,26.5,9.1,6.6,10.4,24.6,9.7,6.9,10.2,25.5,9.4,6.7,3.1,,,,,
Unnamed: 159,,,2014-T3,10.1,27.1,9.2,6.9,10.5,24.5,9.9,6.6,10.3,25.7,9.6,6.8,3.1,,,,,
Unnamed: 160,,,2014-T4,10.1,27.2,9.3,6.5,10.8,25.4,10,7.5,10.5,26.2,9.7,7,3.1,,,,,
Unnamed: 161,,,2015-T1,9.9,27.1,9.1,6.2,10.7,25.5,9.9,7,10.3,26.2,9.5,6.6,3.1,,,,,
Unnamed: 162,,,2015-T2,10,28.2,9,6.6,11,24.4,10.2,7.9,10.5,26.1,9.6,7.2,3.1,,,,,
Unnamed: 163,,,2015-T3,9.9,27.5,9,6.4,10.8,24.9,9.9,7.6,10.4,26.1,9.5,7,3.1,,,,,
Unnamed: 164,,,2015-T4,9.8,26.8,8.9,6.5,10.7,25.2,9.8,7.4,10.2,26,9.3,7,3.1,,,,,
Unnamed: 165,,,2016-T1,9.7,27.3,8.9,6.3,10.7,25.3,9.9,7.2,10.2,26.2,9.4,6.7,3.2,,,,,
Unnamed: 166,,,2016-T2,9.8,28.4,8.7,6.2,10.3,24.1,9.5,7.2,10,26.1,9.1,6.7,3.2,,,,,
Unnamed: 167,,,2016-T3 ,10,29.3,8.7,6.8,9.8,23.8,8.6,7.4,9.9,26.4,8.7,7.1,3.1,,,,,
Unnamed: 168,,,2016-T4 ,9.9,26.9,9.1,6.4,10.2,23.7,9.3,7.4,10,25.2,9.2,6.9,3.1,,,,,
