Évolution du produit intérieur brut et de ses composantes,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,,,,,,,,,,,
par rapport au trimestre précédent en volume en %,,,,,,,,,,,,
Trimestre,Produit intérieur brut (PIB),Importations,Dépense de consommation des ménages,Dépense de consommation des APU1,Formation brute de capital fixe,dont : ,,,Exportations,Contributions :,,
,,,,,,Entreprises non financières,ménages,APU1,,Demande intérieure finale hors stocks,Variations de stocks,Commerce extérieur
2002-T1,0.57808841,2.60429518,0.12904242,0.182727530089988,-1.58696775,-1.8529925,-1.24592071,-1.21791392,2.46068243,-0.15513856,0.72587951,0.00734746
2001-T4,-0.43212258,-1.04485318,0.52498337,0.196840241365681,0.40483772,-0.39184086,2.74061431,0.33113226,-2.2264739,0.45749477,-0.51414032,-0.37547702
2001-T3,0.51856537,-0.85568767,0.41990378,0.2749549642731,-0.00465977,0.24918572,-0.14921526,-0.22851064,-0.21733327,0.3181169,0.02342905,0.17701942
2001-T2,0.05099817,-0.43630265,0.67403253,0.124271844660195,-0.46764707,-0.08883609,-0.84839032,-0.94800904,-1.40349406,0.30009652,0.05684727,-0.30594562
2001-T1,0.57698874,-1.29472164,1.14418653,0.120100919333654,0.67010202,0.80726442,1.46017462,-0.30406185,0.40358589,0.76237415,-0.65692576,0.47154035
2000-T4,0.56229752,2.23323575,0.12654733,0.159235668789814,0.06940174,0.55978557,-1.11218235,0.11943253,2.98646342,0.12562961,0.16431127,0.27235663
2000-T3,0.7818313,3.52982832,0.44106183,0.346495532031299,2.54851645,4.21899159,0.34993424,1.13822952,1.41556626,0.84559668,0.46293971,-0.52670509
2000-T2,1.0668904,4.20010586,0.77802987,0.461508933556676,0.91738279,0.12997427,0.72599703,2.65326333,4.9597899,0.71957822,0.028967,0.31834517
2000-T1,0.98326079,4.71686988,1.25490949,0.606496800751311,2.24293349,2.02358585,1.36443823,3.39095374,2.84017937,1.26632859,0.10595172,-0.38901953
1999-T4,1.4162532,3.95703359,0.41275971,0.61286305954662,1.37186625,1.1265767,1.08390792,2.15201614,3.01540496,0.65931644,0.89970454,-0.14276778
1999-T3,1.47303958,2.48983069,2.41343872,0.557671985862829,2.35906305,2.56046387,1.39281196,2.58967593,4.16098192,1.87890752,-0.92407722,0.51820929
1999-T2,0.64844686,1.44407696,0.88298003,0.318028756213584,1.64395142,2.08418065,1.34897512,0.83065932,1.28419632,0.87702172,-0.22267851,-0.00589635
1999-T1,0.68803858,0.71189492,0.20181348,0.616675331194094,2.13758115,2.48201591,2.93496905,0.57371924,-0.39699108,0.67590073,0.28571358,-0.27357573
1998-T4,0.68554409,1.24082929,0.44674782,0.404078583835066,1.44952569,1.54191294,1.83885835,0.6116778,0.26942741,0.62817327,0.29499819,-0.23762737
1998-T3,0.51723236,0.99779821,1.40065966,-0.104285598698228,1.63680674,1.72535869,1.78934678,1.01255244,1.09610543,1.04421686,-0.58275729,0.05577279
1998-T2,0.7160907,2.26973406,1.07644491,-0.388655556252071,1.90221337,2.58702876,1.36158455,0.45218931,1.48544778,0.85654707,0.00909891,-0.14955527
1998-T1,0.95847992,4.2264118,0.92375417,-0.60438288857636,1.82343385,2.49500229,0.72136089,0.81904646,2.07401188,0.70372961,0.698181,-0.44343069
1997-T4,0.98821223,2.8606147,1.47198996,-0.21051135606619,1.59344317,2.25044801,0.94710327,0.13047135,2.60800556,1.02991127,-0.0723798,0.03068076
1997-T3,0.99434832,4.27565675,0.7750806,0.138756704350373,0.5479367,0.94848011,1.17948827,-1.55348297,3.30889689,0.54409506,0.55147639,-0.10122314
1997-T2,1.04961755,2.78603991,0.26731308,0.234478085660284,1.18504985,2.2174077,1.43216042,-1.63941842,4.02107226,0.4159834,0.22802301,0.40561115
1997-T1,0.42688692,1.27914235,0.08324627,0.247571210238906,-0.99746931,-1.24558258,0.55872823,-2.44888722,3.18248786,-0.10089601,0.02498906,0.50279386
1996-T4,0.38465175,1.86415093,-0.99945556,0.673031069201624,-0.49981964,-0.50281637,0.67640499,-1.97162208,3.96645366,-0.47186387,0.30257378,0.55394184
1996-T3,0.38600055,-0.26629129,1.31692703,0.487341772151906,0.27109523,0.35096247,1.10300243,-0.91247416,1.45746976,0.87339878,-0.89495445,0.40755623
1996-T2,0.19284306,-0.01976693,-0.30705697,0.717590063016793,-0.31782617,-1.25991045,0.44662087,0.78201304,-0.13200514,-0.03246108,0.25268208,-0.02737793
1996-T1,0.69513326,1.16542285,1.62059881,0.714462593893583,0.69330089,1.00372589,0.26218681,0.16811659,1.96588735,1.19246327,-0.70950349,0.21217348
1995-T4,-0.03950242,-0.614219,0.00412573,0.430153086601703,-0.03312879,-0.40847303,-0.67250633,1.15251802,0.32765813,0.12690617,-0.38204842,0.21563984
1995-T3,0.15628572,0.80532156,-0.34575821,0.377225910242429,-0.12222131,0.15391696,-0.39598974,-0.76010013,-1.39719088,-0.09173377,0.76821583,-0.52019634
1995-T2,0.65568632,2.91868125,1.4983676,0.133316051622945,-0.51444551,-0.90931136,-0.6953974,0.16665283,2.51897406,0.73750949,-0.05667031,-0.02515286
1995-T1,0.47252715,-0.47397067,0.0665184,-0.210639123445611,0.92623066,1.61590462,0.49965064,-1.32495365,1.63776422,0.19074526,-0.20400071,0.4857826
1994-T4,0.94265379,4.38471144,0.41419141,0.0526875259971416,0.42535619,0.38613676,1.26027603,-0.76816066,5.1504596,0.33418767,0.35021348,0.25825264
1994-T3,0.90324227,2.61839344,0.52892653,0.0684481690114813,0.808114,1.76983795,1.48048292,-1.64626585,2.57962541,0.4724937,0.39159003,0.03915854
1994-T2,1.0034404,3.53851114,0.91725231,0.0175776190652455,0.93236106,1.29445522,1.62450401,-0.11377357,3.47307642,0.68738947,0.26683264,0.04921829
1994-T1,0.67872639,1.73360919,0.03182529,-0.193902236339127,1.56810507,1.39550187,1.90890103,2.32621542,-0.03938237,0.29631321,0.74708934,-0.36467616
